"title","n_score","h_score","e_score"
"シャルル","0","0","1000000"
"ドラマツルギー","0","0","1000000"
"オドループ","0","0","1000000"
"only my railgun","0","0","1000000"
"にめんせい☆ウラオモテライフ!","0","0","1000000"
"You Only Live Once","0","0","1000000"
"残酷な天使のテーゼ","0","0","1000000"
"ただ君に晴れ","0","0","1000000"
"The Light","0","0","1000000"
"AIAIAI (feat. 中田ヤスタカ)","0","0","1000000"
"Hello, Morning","0","0","1000000"
"Raise Your Heart!!","0","1000000","1000000"
"SHINY DAYS","0","1000000","1000000"
"EXCITE","0","0","1000000"
"シュガーソングとビターステップ","0","997770","1000000"
"ファティマ","0","998673","1000000"
"回レ！雪月花","0","1000000","1000000"
"ピースサイン","0","998649","1000000"
"徒花ネクロマンシー","0","0","1000000"
"ようこそジャパリパークへ","0","0","1000000"
"かくしん的☆めたまるふぉ～ぜっ!","0","0","1000000"
"POP TEAM EPIC","0","1000000","1000000"
"ファッとして桃源郷","0","0","1000000"
"Nameless Story","0","0","1000000"
"TOMORROW","0","998571","1000000"
"五等分の気持ち","0","0","1000000"
"EZ DO DANCE -K.O.P. REMIX-","0","1000000","1000000"
"ギミチョコ!!","995818","994307","1000000"
"ウマーベラス","0","998805","1000000"
"ゴーストルール","0","0","1000000"
"ロストワンの号哭","0","0","1000000"
"いーあるふぁんくらぶ","0","0","1000000"
"初音ミクの消失","0","0","1000000"
"劣等上等","0","0","1000000"
"アカリがやってきたぞっ","0","0","1000000"
"太陽系デスコ","0","0","1000000"
"気まぐれメルシィ feat. 初音ミク","0","0","1000000"
"幸せになれる隠しコマンドがあるらしい","0","993073","1000000"
"千本桜","0","0","1000000"
"エイリアンエイリアン","0","0","1000000"
"砂の惑星 feat. 初音ミク","1000000","0","1000000"
"マトリョシカ","0","988148","1000000"
"Seyana. ～何でも言うことを聞いてくれるアカネチャン～","0","0","1000000"
"フラジール","0","1000000","1000000"
"ロキ","0","1000000","1000000"
"ウミユリ海底譚","0","958982","1000000"
"スクランブル交際","0","0","1000000"
"乙女解剖","0","0","1000000"
"悪戯センセーション","0","0","1000000"
"ナイト・オブ・ナイツ (かめりあ’s“ワンス・アポン・ア・ナイト”Remix)","0","991624","1000000"
"Mami Mami Zone","0","0","1000000"
"チルノのパーフェクトさんすう教室","0","1000000","1000000"
"待チ人ハ来ズ。","0","0","1000000"
"taboo tears you up 2017","0","999315","1000000"
"Bad Apple!! feat. nomico","0","0","1000000"
"ナイト・オブ・ナイツ","0","1000000","1000000"
"WARNING×WARNING×WARNING","0","1000000","1000000"
"Over the sweat and tears","0","0","1000000"
"Singin'☆Shine！","0","993636","1000000"
"ベースラインやってる？笑","0","0","1000000"
"EU over Progress","0","0","999590"
"燐廻","0","0","1000000"
"『エキセントリック少年ボウイ』のテーマ","0","1000000","1000000"
"Jägermeister","0","1000000","1000000"
"What's this?","0","1000000","1000000"
"FREEDOM DiVE↓","0","0","998286"
"Honey Panic!","0","1000000","1000000"
"Pixel Galaxy","0","0","1000000"
"集結の華々","0","0","1000000"
"conflict","0","0","1000000"
"こんにちは、ARuFaです。","0","998137","1000000"
"ぼくの夢、メチャクソ無限湧き","0","1000000","1000000"
"ゲームオーバー (feat. TORIENA)","0","998846","1000000"
"ルーンファクトリー４スペシャルより「この想いを乗せて」","0","1000000","1000000"
"Demon's Rave","0","0","1000000"
"jacaranda","0","1000000","1000000"
"CHECKER FLAG","0","999272","998862"
"Stratoliner","0","999297","1000000"
"Utopia feat. shully","0","1000000","1000000"
"Let you DIVE!","0","1000000","1000000"
"Murasaki","0","1000000","1000000"
"Mazy Metroplex","0","0","1000000"
"LOSE CONTROL","0","0","1000000"
"†DOOF†SENC†","0","0","999672"
"Shiny Memory feat.Yukacco","0","0","1000000"
"BLVST BEVT","0","0","1000000"
"JINGLE DEATH","0","1000000","1000000"
"Invisible Frenzy","1000000","1000000","994795"
"VOX Diamond","0","1000000","1000000"
"Chariot","0","998409","1000000"
"Akareram","0","1000000","1000000"
"Galaxy Friends","0","1000000","1000000"
"13 Donkeys","0","998141","1000000"
"ADAM","0","978919","1000000"
"ATARAX1A","0","0","1000000"
"HiGHER","0","0","1000000"
"Source of Creation","0","0","1000000"
"Exitium","999235","997913","994369"
"Blaze","0","0","1000000"
"GRiDGALAXY","0","0","1000000"
"Jingle","0","999428","1000000"
"BATTLE NO.1","0","994473","999249"
"LEVATEiN feat. 野宮あゆみ","0","998633","1000000"
"BIG HEAD BANGING","1000000","999559","999700"
"Knight Rider","1000000","989113","1000000"
"PARALLEL★PRISM","998352","1000000","1000000"
"Rainbow Dream","0","997692","1000000"
"Quon","0","992279","1000000"
"Poseidon","998976","996192","1000000"
"HELL FLAME","0","989775","1000000"
"Gate One","1000000","999408","1000000"
"Over My Hand","995146","983891","1000000"
"Are You Ready","0","998048","1000000"
"MEMORiZE","0","1000000","1000000"
"illanai-assorted","0","995248","1000000"
"Sunshine","1000000","996825","1000000"
"BOOM! BOOM!! BOOM!!!","0","997548","1000000"
"Ever Free(Raw Edit)","0","1000000","1000000"
"Try again","0","978832","1000000"
"BLUE SKY feat. 野宮あゆみ","0","995031","1000000"
"Sound Chimera","1000000","997595","999642"
"Soldiers","0","1000000","1000000"
"Fight for the CORE feat. Daisuke","0","998958","1000000"
"Shining Harmony","0","984392","1000000"
